,customer_id
0,0018c6aa-ab6c-11e9-a2fc-000d3a38a36f
1,00414e84-adc6-11e9-a2fc-000d3a38a36f
2,007cdfe4-1f54-11ea-87bf-000d3a38a36f
3,00c2168c-a875-11e9-a2fc-000d3a38a36f
4,00f6c98e-abb5-11e9-a2fc-000d3a38a36f
5,00f7553c-5bbb-11ea-b88d-000d3a38a36f
6,017bd900-a97e-11e9-a2fc-000d3a38a36f
7,017d86e2-5599-11eb-9e65-000d3a38a36f
8,01defd1e-a582-11e9-a2fc-000d3a38a36f
9,02c605a4-993f-11ea-b97a-000d3a38a36f
10,02d44576-a596-11e9-a2fc-000d3a38a36f
11,02d797b2-5b53-11ea-9849-000d3a38a36f
12,02ddf53a-d683-11e9-93bc-000d3a38a36f
13,034a8960-c855-11ea-8ddc-000d3a38a36f
14,03ba116e-5bc6-11ea-899b-000d3a38a36f
15,048bbbe4-1cfe-11ea-a490-000d3a38a36f
16,04901038-a411-11e9-a2fc-000d3a38a36f
17,04937794-508e-11ea-99ba-000d3a38a36f
18,04cd5a8e-41d6-11ea-96d9-000d3a38a36f
19,04f94ad2-49e1-11ea-8a4f-000d3a38a36f
20,050b9782-9775-11ea-a9c8-000d3a38a36f
21,0515c070-9e6c-11e9-9897-000d3a38a36f
22,052759d6-73f3-11ea-92d0-000d3a38a36f
23,055f4316-ab32-11ea-b736-000d3a38a36f
24,056e803c-a378-11e9-a2fc-000d3a38a36f
25,05ca4e72-d68f-11e9-93bc-000d3a38a36f
26,062e21a4-9dc8-11e9-9897-000d3a38a36f
27,06548210-bd28-11ea-aa61-000d3a38a36f
28,06671b06-ac34-11e9-a2fc-000d3a38a36f
29,06cd8bae-9ebd-11e9-9897-000d3a38a36f
30,06e6bc28-5330-11ea-acd3-000d3a38a36f
31,07200298-418d-11eb-806e-000d3a38a36f
32,0754e39e-5eb4-11ea-be5b-000d3a38a36f
33,0768a930-ad46-11e9-a2fc-000d3a38a36f
34,07b05898-db08-11ea-a65b-000d3a38a36f
35,081002e8-f26a-11e9-9346-000d3a38a36f
36,087daaba-7189-11eb-a3e2-000d3a38a36f
37,08934cc6-a6e2-11e9-a2fc-000d3a38a36f
38,08cd7574-b03b-11e9-9757-000d3a38a36f
39,08ce95e8-aac9-11e9-a2fc-000d3a38a36f
40,08f9f69c-a1fb-11e9-a2fc-000d3a38a36f
41,08fb032a-1208-11ea-916f-000d3a38a36f
42,090d6e42-9da6-11e9-9897-000d3a38a36f
43,0961104a-aa55-11e9-a2fc-000d3a38a36f
44,099ba066-5e6d-11eb-8dbd-000d3a38a36f
45,09cb00a8-ad44-11e9-a2fc-000d3a38a36f
46,09f7a470-5bed-11ea-bdcb-000d3a38a36f
47,0a230598-5b3e-11ea-8602-000d3a38a36f
